No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,winds,Is,Ir
38725,2014,6,2,12,20,13,26,1012,2.68,0,0
38726,2014,6,2,13,31,12,24,1012,1.79,0,0
38727,2014,6,2,14,31,11,25,1011,1.79,0,0
38728,2014,6,2,15,28,12,25,1010,4.92,0,0
38729,2014,6,2,16,31,11,26,1010,0.89,0,0
38730,2014,6,2,17,28,11,26,1009,1.79,0,0
38731,2014,6,2,18,34,12,26,1009,0.89,0,0
38732,2014,6,2,19,32,12,25,1009,3.13,0,0
38733,2014,6,2,20,44,12,24,1010,3.13,0,0
38734,2014,6,2,21,46,12,24,1010,6.26,0,0
38735,2014,6,2,22,43,12,24,1010,10.28,0,0
38736,2014,6,2,23,48,13,22,1010,13.41,0,0
38737,2014,6,3,0,57,13,22,1009,16.54,0,0
38738,2014,6,3,1,53,13,20,1009,19.67,0,0
38739,2014,6,3,2,64,13,19,1008,20.56,0,0
38740,2014,6,3,3,52,13,17,1008,22.35,0,0
38741,2014,6,3,4,37,13,17,1008,26.37,0,0
38742,2014,6,3,5,35,13,17,1008,0.89,0,0
38743,2014,6,3,6,39,14,20,1008,4.02,0,0
38744,2014,6,3,7,31,14,23,1009,7.15,0,0
38745,2014,6,3,8,29,13,24,1009,10.28,0,0
38746,2014,6,3,9,28,13,27,1009,13.41,0,0
38747,2014,6,3,10,32,12,28,1009,15.2,0,0
38748,2014,6,3,11,33,12,29,1008,0.89,0,0
38749,2014,6,3,12,25,12,30,1008,1.79,0,0
38750,2014,6,3,13,30,12,31,1007,4.92,0,0
38751,2014,6,3,14,28,12,31,1006,8.05,0,0
38752,2014,6,3,15,36,12,32,1006,12.07,0,0
38753,2014,6,3,16,43,12,32,1006,16.09,0,0
38754,2014,6,3,17,43,13,31,1006,20.11,0,0
38755,2014,6,3,18,54,12,30,1006,23.24,0,0
38756,2014,6,3,19,56,13,28,1006,26.37,0,0
38757,2014,6,3,20,45,13,28,1007,28.16,0,0
38758,2014,6,3,21,48,13,27,1007,29.95,0,0
38759,2014,6,3,22,57,14,26,1008,34.87,0,0
38760,2014,6,3,23,50,14,24,1008,38,0,0
38761,2014,6,4,0,47,14,23,1008,39.79,0,0
38762,2014,6,4,1,48,15,21,1008,1.79,0,0
38763,2014,6,4,2,62,15,21,1008,2.68,0,0
38764,2014,6,4,3,77,15,20,1008,3.57,0,0
38765,2014,6,4,4,83,16,20,1007,4.46,0,0
38766,2014,6,4,5,87,16,19,1007,0.89,0,0
38767,2014,6,4,6,88,17,20,1007,1.78,0,0
38768,2014,6,4,7,107,17,24,1008,2.67,0,0
38769,2014,6,4,8,88,16,25,1007,3.56,0,0
38770,2014,6,4,9,88,15,26,1007,4.45,0,0
38771,2014,6,4,10,79,14,27,1007,3.13,0,0
38772,2014,6,4,11,60,14,28,1007,6.26,0,0
38773,2014,6,4,12,48,14,29,1006,1.79,0,0
38774,2014,6,4,13,38,13,29,1005,3.13,0,0
38775,2014,6,4,14,42,13,31,1005,6.26,0,0
38776,2014,6,4,15,47,13,30,1004,9.39,0,0
38777,2014,6,4,16,53,13,30,1004,13.41,0,0
38778,2014,6,4,17,52,14,29,1004,17.43,0,0
38779,2014,6,4,18,51,14,29,1004,22.35,0,0
38780,2014,6,4,19,53,14,28,1004,26.37,0,0
38781,2014,6,4,20,51,15,27,1004,29.5,0,0
38782,2014,6,4,21,54,14,27,1005,31.29,0,0
38783,2014,6,4,22,54,14,27,1005,1.79,0,0
38784,2014,6,4,23,54,15,27,1005,3.13,0,0
38785,2014,6,5,0,NA,15,26,1005,1.79,0,0
38786,2014,6,5,1,53,16,24,1005,1.79,0,0
38787,2014,6,5,2,57,17,23,1005,4.92,0,0
38788,2014,6,5,3,80,16,22,1005,6.71,0,0
38789,2014,6,5,4,84,16,21,1005,8.5,0,0
38790,2014,6,5,5,90,16,20,1006,0.89,0,0
38791,2014,6,5,6,95,17,21,1006,0.89,0,0
38792,2014,6,5,7,108,17,22,1006,1.79,0,0
38793,2014,6,5,8,102,17,25,1006,0.89,0,0
38794,2014,6,5,9,90,17,27,1006,1.79,0,0
38795,2014,6,5,10,76,16,29,1006,0.89,0,0
38796,2014,6,5,11,54,16,30,1005,2.68,0,0
38797,2014,6,5,12,43,15,31,1005,3.13,0,0
38798,2014,6,5,13,43,14,33,1004,1.79,0,0
38799,2014,6,5,14,45,13,34,1003,3.13,0,0
38800,2014,6,5,15,43,13,34,1003,3.13,0,0
38801,2014,6,5,16,49,13,33,1002,4.92,0,0
38802,2014,6,5,17,56,13,34,1002,0.89,0,0
38803,2014,6,5,18,55,14,33,1002,4.02,0,0
38804,2014,6,5,19,59,14,31,1002,8.04,0,0
38805,2014,6,5,20,60,15,31,1002,11.17,0,0
38806,2014,6,5,21,68,14,30,1003,14.3,0,0
38807,2014,6,5,22,70,15,30,1003,18.32,0,0
38808,2014,6,5,23,81,16,26,1003,20.11,0,0
38809,2014,6,6,0,NA,16,27,1003,23.24,0,0
38810,2014,6,6,1,90,19,25,1004,27.26,0,0
38811,2014,6,6,2,108,19,24,1004,29.05,0,0
38812,2014,6,6,3,109,17,23,1004,32.18,0,0
38813,2014,6,6,4,106,17,22,1004,0.89,0,0
38814,2014,6,6,5,96,17,22,1005,1.79,0,0
38815,2014,6,6,6,82,17,22,1005,0.89,0,0
38816,2014,6,6,7,87,17,23,1004,1.79,0,0
38817,2014,6,6,8,101,18,25,1004,3.58,0,0
38818,2014,6,6,9,99,18,26,1004,6.71,0,0
38819,2014,6,6,10,104,18,26,1004,9.84,0,0
38820,2014,6,6,11,101,18,27,1004,0.89,0,0
38821,2014,6,6,12,88,16,22,1005,11.18,0,1
38822,2014,6,6,13,9,18,19,1005,16.99,0,2
38823,2014,6,6,14,9,17,19,1005,24.14,0,3
38824,2014,6,6,15,6,17,19,1005,29.06,0,4
38825,2014,6,6,16,6,16,18,1004,4.92,0,5
38826,2014,6,6,17,7,16,18,1005,5.81,0,6
38827,2014,6,6,18,7,16,18,1005,3.13,0,7
38828,2014,6,6,19,9,15,18,1005,7.15,0,0
38829,2014,6,6,20,10,14,18,1005,3.13,0,0
38830,2014,6,6,21,12,14,18,1005,3.13,0,0
38831,2014,6,6,22,10,14,17,1005,1.79,0,0
38832,2014,6,6,23,17,14,16,1005,4.92,0,0
38833,2014,6,7,0,NA,14,16,1005,0.89,0,0
38834,2014,6,7,1,24,14,15,1005,1.78,0,0
38835,2014,6,7,2,25,13,17,1005,1.79,0,0
38836,2014,6,7,3,19,12,15,1005,1.79,0,0
38837,2014,6,7,4,17,11,17,1005,3.13,0,0
38838,2014,6,7,5,14,11,15,1005,1.79,0,0
38839,2014,6,7,6,8,12,18,1005,4.92,0,0
38840,2014,6,7,7,6,12,20,1005,10.73,0,0
38841,2014,6,7,8,6,11,22,1006,15.65,0,0
38842,2014,6,7,9,5,10,24,1006,22.8,0,0
38843,2014,6,7,10,4,10,26,1005,28.61,0,0
38844,2014,6,7,11,3,9,26,1005,33.53,0,0
38845,2014,6,7,12,3,9,27,1005,38.45,0,0
38846,2014,6,7,13,5,9,28,1004,41.58,0,0
38847,2014,6,7,14,5,8,29,1003,46.5,0,0
38848,2014,6,7,15,5,9,29,1002,51.42,0,0
38849,2014,6,7,16,7,8,30,1001,54.55,0,0
38850,2014,6,7,17,6,10,29,1001,3.13,0,0
38851,2014,6,7,18,9,10,28,1002,4.02,0,0
38852,2014,6,7,19,8,11,26,1002,5.81,0,0
38853,2014,6,7,20,19,11,24,1002,7.6,0,0
38854,2014,6,7,21,26,14,21,1003,9.39,0,0
38855,2014,6,7,22,26,13,21,1003,11.18,0,0
38856,2014,6,7,23,38,13,19,1003,0.89,0,0
38857,2014,6,8,0,40,15,19,1003,1.78,0,0
38858,2014,6,8,1,69,14,18,1003,1.79,0,0
38859,2014,6,8,2,45,13,18,1003,0.89,0,0
38860,2014,6,8,3,33,13,17,1003,1.78,0,0
38861,2014,6,8,4,24,13,17,1003,2.67,0,0
38862,2014,6,8,5,29,14,17,1003,1.79,0,0
38863,2014,6,8,6,25,13,18,1003,3.58,0,0
38864,2014,6,8,7,26,14,19,1003,6.71,0,0
38865,2014,6,8,8,25,14,21,1003,1.79,0,0
38866,2014,6,8,9,45,13,23,1003,0.89,0,0
38867,2014,6,8,10,58,14,25,1002,1.79,0,0
38868,2014,6,8,11,59,14,27,1002,1.79,0,0
38869,2014,6,8,12,48,13,28,1001,1.79,0,0
38870,2014,6,8,13,45,12,30,1000,4.92,0,0
38871,2014,6,8,14,48,11,30,999,1.79,0,0
38872,2014,6,8,15,43,14,19,1002,4.92,0,1
38873,2014,6,8,16,11,14,20,1002,3.13,0,0
38874,2014,6,8,17,11,14,21,1002,4.02,0,0
38875,2014,6,8,18,19,15,22,1001,8.94,0,0
38876,2014,6,8,19,25,15,22,1001,12.96,0,0
38877,2014,6,8,20,30,15,19,1002,1.79,0,0
38878,2014,6,8,21,44,14,19,1002,0.89,0,0
38879,2014,6,8,22,38,15,18,1002,1.78,0,0
38880,2014,6,8,23,33,14,17,1002,1.79,0,0
38881,2014,6,9,0,NA,14,17,1002,4.92,0,0
38882,2014,6,9,1,35,14,16,1003,0.89,0,0
38883,2014,6,9,2,NA,13,15,1002,3.13,0,0
38884,2014,6,9,3,NA,13,15,1003,0.89,0,0
38885,2014,6,9,4,NA,14,16,1004,1.79,0,0
38886,2014,6,9,5,NA,13,14,1004,0.89,0,0
38887,2014,6,9,6,NA,15,16,1005,3.13,0,0
38888,2014,6,9,7,NA,14,19,1005,4.92,0,0
38889,2014,6,9,8,NA,14,22,1005,6.71,0,0
38890,2014,6,9,9,NA,14,24,1005,0.89,0,0
38891,2014,6,9,10,NA,13,25,1005,1.78,0,0
38892,2014,6,9,11,41,13,26,1005,1.79,0,0
38893,2014,6,9,12,32,11,28,1005,1.79,0,0
38894,2014,6,9,13,32,10,29,1004,1.79,0,0
38895,2014,6,9,14,25,10,30,1003,3.58,0,0
38896,2014,6,9,15,17,7,30,1003,3.13,0,0
38897,2014,6,9,16,32,9,29,1003,6.26,0,1
38898,2014,6,9,17,20,12,27,1003,4.02,0,0
38899,2014,6,9,18,15,14,25,1004,8.04,0,0
38900,2014,6,9,19,33,13,22,1005,11.17,0,0
38901,2014,6,9,20,19,13,22,1006,14.3,0,0
38902,2014,6,9,21,22,13,22,1007,17.43,0,0
38903,2014,6,9,22,31,14,21,1008,1.79,0,0
38904,2014,6,9,23,49,13,21,1008,0.89,0,0
38905,2014,6,10,0,52,13,20,1008,1.79,0,0
38906,2014,6,10,1,59,14,18,1008,3.58,0,0
38907,2014,6,10,2,67,14,19,1008,0.89,0,0
38908,2014,6,10,3,62,14,19,1009,1.79,0,0
38909,2014,6,10,4,58,14,19,1008,3.58,0,0
38910,2014,6,10,5,50,14,18,1008,5.37,0,0
38911,2014,6,10,6,71,15,18,1009,1.79,0,0
38912,2014,6,10,7,76,16,19,1009,0.89,0,1
38913,2014,6,10,8,82,16,20,1009,1.78,0,0
38914,2014,6,10,9,83,16,22,1009,2.67,0,0
38915,2014,6,10,10,99,16,22,1009,4.46,0,0
38916,2014,6,10,11,78,16,25,1009,1.79,0,0
38917,2014,6,10,12,80,16,26,1008,5.81,0,0
38918,2014,6,10,13,77,16,25,1008,9.83,0,0
38919,2014,6,10,14,79,18,23,1008,11.62,0,1
38920,2014,6,10,15,79,18,23,1008,1.79,0,0
38921,2014,6,10,16,59,17,24,1008,3.13,0,0
38922,2014,6,10,17,75,16,23,1008,7.15,0,0
38923,2014,6,10,18,94,16,23,1008,10.28,0,0
38924,2014,6,10,19,88,16,22,1008,12.07,0,0
38925,2014,6,10,20,88,16,21,1009,0.89,0,0
38926,2014,6,10,21,85,16,20,1010,1.79,0,0
38927,2014,6,10,22,87,17,20,1010,0.89,0,0
38928,2014,6,10,23,94,17,19,1011,1.78,0,0
38929,2014,6,11,0,103,17,19,1010,0.89,0,0
38930,2014,6,11,1,101,17,19,1010,0.89,0,0
38931,2014,6,11,2,114,16,18,1010,2.68,0,0
38932,2014,6,11,3,123,16,18,1011,0.89,0,0
38933,2014,6,11,4,122,15,17,1011,2.68,0,0
38934,2014,6,11,5,96,14,17,1011,5.81,0,0
38935,2014,6,11,6,51,16,19,1011,8.94,0,0
38936,2014,6,11,7,23,15,21,1012,3.13,0,0
38937,2014,6,11,8,59,15,22,1012,8.05,0,0
38938,2014,6,11,9,43,14,24,1012,12.97,0,0
38939,2014,6,11,10,13,14,26,1012,3.13,0,0
38940,2014,6,11,11,13,13,27,1012,1.79,0,0
38941,2014,6,11,12,16,12,27,1011,4.92,0,0
38942,2014,6,11,13,13,12,29,1010,9.84,0,0
38943,2014,6,11,14,12,12,30,1009,3.13,0,0
38944,2014,6,11,15,18,12,30,1008,1.79,0,0
38945,2014,6,11,16,16,11,30,1007,4.92,0,0
38946,2014,6,11,17,15,12,30,1007,6.71,0,0
38947,2014,6,11,18,20,12,30,1007,7.6,0,0
38948,2014,6,11,19,17,12,29,1007,3.13,0,0
38949,2014,6,11,20,19,13,27,1007,4.92,0,0
38950,2014,6,11,21,40,14,26,1008,8.94,0,0
38951,2014,6,11,22,44,14,25,1008,12.07,0,0
38952,2014,6,11,23,33,14,24,1008,0.89,0,0
38953,2014,6,12,0,33,15,22,1008,0.89,0,0
38954,2014,6,12,1,37,15,20,1008,0.89,0,0
38955,2014,6,12,2,37,15,20,1008,1.79,0,0
38956,2014,6,12,3,50,15,19,1008,1.79,0,0
38957,2014,6,12,4,51,15,19,1008,3.58,0,0
38958,2014,6,12,5,39,15,20,1007,6.71,0,0
38959,2014,6,12,6,28,16,21,1007,9.84,0,0
38960,2014,6,12,7,35,15,24,1007,13.86,0,0
38961,2014,6,12,8,31,15,26,1008,3.13,0,0
38962,2014,6,12,9,31,14,29,1007,3.13,0,0
38963,2014,6,12,10,27,13,30,1007,0.89,0,0
38964,2014,6,12,11,23,13,33,1006,2.68,0,0
38965,2014,6,12,12,18,12,33,1006,1.79,0,0
38966,2014,6,12,13,16,12,35,1005,1.79,0,0
38967,2014,6,12,14,12,12,35,1004,1.79,0,0
38968,2014,6,12,15,14,12,36,1003,3.13,0,0
38969,2014,6,12,16,14,11,35,1003,4.92,0,0
38970,2014,6,12,17,10,12,34,1003,1.79,0,0
38971,2014,6,12,18,20,12,33,1003,4.92,0,0
38972,2014,6,12,19,30,15,31,1004,8.94,0,0
38973,2014,6,12,20,40,15,29,1005,10.73,0,0
38974,2014,6,12,21,44,17,28,1006,4.02,0,0
38975,2014,6,12,22,38,16,28,1006,3.13,0,0
38976,2014,6,12,23,50,17,26,1007,4.92,0,0
38977,2014,6,13,0,64,18,25,1007,0.89,0,0
38978,2014,6,13,1,99,17,24,1007,1.78,0,0
38979,2014,6,13,2,110,18,24,1007,2.67,0,0
38980,2014,6,13,3,105,18,22,1007,0.89,0,0
38981,2014,6,13,4,108,18,22,1007,1.78,0,0
38982,2014,6,13,5,121,18,21,1007,2.67,0,0
38983,2014,6,13,6,126,19,22,1008,0.89,0,0
38984,2014,6,13,7,103,19,24,1008,1.79,0,0
38985,2014,6,13,8,78,18,27,1009,0.89,0,0
38986,2014,6,13,9,93,17,28,1008,2.68,0,0
38987,2014,6,13,10,49,17,29,1008,3.13,0,0
38988,2014,6,13,11,29,16,31,1008,3.13,0,0
38989,2014,6,13,12,25,16,31,1007,3.13,0,0
38990,2014,6,13,13,34,16,31,1007,1.79,0,0
38991,2014,6,13,14,39,15,32,1006,1.79,0,0
38992,2014,6,13,15,41,16,32,1005,5.81,0,0
38993,2014,6,13,16,48,16,32,1005,10.73,0,0
38994,2014,6,13,17,49,17,19,1008,15.2,0,2
38995,2014,6,13,18,19,17,19,1007,4.92,0,3
38996,2014,6,13,19,14,18,20,1007,3.13,0,0
38997,2014,6,13,20,24,18,20,1008,1.79,0,0
38998,2014,6,13,21,22,17,21,1008,3.13,0,0
38999,2014,6,13,22,30,17,21,1008,6.26,0,0
39000,2014,6,13,23,30,17,20,1008,1.79,0,0
39001,2014,6,14,0,37,18,19,1008,2.68,0,0
39002,2014,6,14,1,35,17,19,1007,4.47,0,0
39003,2014,6,14,2,39,17,19,1007,0.89,0,0
39004,2014,6,14,3,38,17,18,1007,1.78,0,0
39005,2014,6,14,4,35,17,19,1008,0.89,0,0
39006,2014,6,14,5,29,17,18,1008,2.68,0,0
39007,2014,6,14,6,28,18,19,1008,3.57,0,0
39008,2014,6,14,7,18,18,21,1008,5.36,0,0
39009,2014,6,14,8,25,18,23,1008,8.49,0,0
39010,2014,6,14,9,34,18,25,1008,10.28,0,0
39011,2014,6,14,10,24,17,26,1008,12.07,0,0
39012,2014,6,14,11,23,17,28,1007,1.79,0,0
39013,2014,6,14,12,30,17,29,1007,2.68,0,0
39014,2014,6,14,13,35,16,30,1006,4.47,0,0
39015,2014,6,14,14,46,17,31,1005,6.26,0,0
39016,2014,6,14,15,47,17,32,1005,8.05,0,0
39017,2014,6,14,16,39,17,31,1004,3.13,0,0
39018,2014,6,14,17,50,16,32,1004,6.26,0,0
39019,2014,6,14,18,54,17,31,1004,9.39,0,0
39020,2014,6,14,19,59,17,30,1004,11.18,0,0
39021,2014,6,14,20,58,19,28,1005,12.97,0,0
39022,2014,6,14,21,70,20,28,1005,16.1,0,0
39023,2014,6,14,22,90,19,26,1005,17.89,0,0
39024,2014,6,14,23,106,19,26,1005,21.02,0,0
39025,2014,6,15,0,128,18,25,1006,22.81,0,0
39026,2014,6,15,1,118,18,23,1006,0.89,0,0
39027,2014,6,15,2,111,19,23,1006,0.89,0,0
39028,2014,6,15,3,131,19,23,1005,1.79,0,0
39029,2014,6,15,4,153,18,23,1005,0.89,0,0
39030,2014,6,15,5,169,19,22,1005,1.78,0,0
39031,2014,6,15,6,161,19,23,1005,0.89,0,0
39032,2014,6,15,7,141,19,25,1005,2.68,0,0
39033,2014,6,15,8,117,18,27,1006,0.89,0,0
39034,2014,6,15,9,117,17,28,1005,1.78,0,0
39035,2014,6,15,10,101,18,29,1005,1.79,0,0
39036,2014,6,15,11,94,18,30,1005,3.58,0,0
39037,2014,6,15,12,89,17,32,1004,6.71,0,0
39038,2014,6,15,13,82,17,32,1003,9.84,0,0
39039,2014,6,15,14,105,18,31,1003,12.97,0,0
39040,2014,6,15,15,130,18,32,1002,16.1,0,0
39041,2014,6,15,16,161,19,31,1002,17.89,0,0
39042,2014,6,15,17,156,19,31,1002,21.02,0,0
39043,2014,6,15,18,100,19,30,1002,4.92,0,0
39044,2014,6,15,19,62,19,29,1002,8.94,0,0
39045,2014,6,15,20,84,18,23,1005,11.18,0,2
39046,2014,6,15,21,61,18,21,1004,15.2,0,3
39047,2014,6,15,22,80,19,21,1004,0.89,0,0
39048,2014,6,15,23,113,19,23,1004,3.13,0,0
39049,2014,6,16,0,140,20,22,1004,0.89,0,0
39050,2014,6,16,1,134,20,21,1004,0.89,0,0
39051,2014,6,16,2,117,20,22,1004,1.78,0,0
39052,2014,6,16,3,112,20,21,1003,0.89,0,0
39053,2014,6,16,4,130,20,21,1003,2.68,0,0
39054,2014,6,16,5,148,19,21,1003,4.47,0,0
39055,2014,6,16,6,162,20,22,1003,7.6,0,0
39056,2014,6,16,7,169,19,22,1003,9.39,0,0
39057,2014,6,16,8,164,20,24,1003,0.89,0,0
39058,2014,6,16,9,169,20,25,1003,1.79,0,0
39059,2014,6,16,10,155,19,26,1004,0.89,0,0
39060,2014,6,16,11,178,20,26,1003,1.79,0,0
39061,2014,6,16,12,191,20,26,1003,4.92,0,1
39062,2014,6,16,13,196,20,27,1001,8.94,0,0
39063,2014,6,16,14,138,20,28,1001,3.13,0,0
39064,2014,6,16,15,132,21,29,1000,3.13,0,0
39065,2014,6,16,16,105,19,29,1000,7.15,0,0
39066,2014,6,16,17,111,19,30,1000,11.17,0,0
39067,2014,6,16,18,96,20,28,1000,14.3,0,0
39068,2014,6,16,19,105,20,28,1000,17.43,0,0
39069,2014,6,16,20,108,20,26,1001,0.89,0,0
39070,2014,6,16,21,111,20,26,1001,1.78,0,0
39071,2014,6,16,22,103,20,26,1001,2.67,0,0
39072,2014,6,16,23,114,20,26,1001,4.02,0,0
39073,2014,6,17,0,176,20,26,1001,7.15,0,0
39074,2014,6,17,1,221,20,26,1001,11.17,0,0
39075,2014,6,17,2,225,16,21,1003,18.32,0,0
39076,2014,6,17,3,84,16,19,1002,3.13,0,1
39077,2014,6,17,4,13,17,19,1003,1.79,0,2
39078,2014,6,17,5,20,17,19,1003,2.68,0,3
39079,2014,6,17,6,28,18,19,1004,1.79,0,0
39080,2014,6,17,7,29,18,20,1003,0.89,0,0
39081,2014,6,17,8,24,18,20,1003,3.13,0,0
39082,2014,6,17,9,32,18,21,1003,1.79,0,0
39083,2014,6,17,10,40,18,22,1003,0.89,0,0
39084,2014,6,17,11,47,19,23,1003,1.79,0,0
39085,2014,6,17,12,49,19,24,1002,3.58,0,0
39086,2014,6,17,13,77,19,25,1002,6.71,0,0
39087,2014,6,17,14,103,19,26,1002,8.5,0,0
39088,2014,6,17,15,119,20,27,1001,11.63,0,0
39089,2014,6,17,16,132,20,26,1001,13.42,0,1
39090,2014,6,17,17,148,20,24,1001,16.55,0,2
39091,2014,6,17,18,38,18,20,1001,19.68,0,3
39092,2014,6,17,19,60,19,20,1002,22.81,0,0
39093,2014,6,17,20,76,18,20,1002,0.89,0,0
39094,2014,6,17,21,56,18,19,1003,1.78,0,0
39095,2014,6,17,22,62,18,19,1003,2.23,0,0
39096,2014,6,17,23,63,18,19,1004,3.12,0,0
39097,2014,6,18,0,75,17,19,1004,1.79,0,0
39098,2014,6,18,1,67,17,19,1003,1.79,0,0
39099,2014,6,18,2,74,17,18,1003,0.89,0,0
39100,2014,6,18,3,71,17,18,1004,1.78,0,0
39101,2014,6,18,4,76,18,19,1003,2.23,0,0
39102,2014,6,18,5,79,17,18,1004,3.13,0,0
39103,2014,6,18,6,82,18,19,1004,0.89,0,0
39104,2014,6,18,7,53,17,20,1004,3.13,0,0
39105,2014,6,18,8,46,18,21,1004,7.15,0,0
39106,2014,6,18,9,46,18,25,1004,8.94,0,0
39107,2014,6,18,10,45,18,26,1004,1.79,0,0
39108,2014,6,18,11,24,16,28,1003,1.79,0,0
39109,2014,6,18,12,11,15,29,1003,0.89,0,0
39110,2014,6,18,13,22,14,29,1002,4.02,0,0
39111,2014,6,18,14,NA,16,30,1001,5.81,0,0
39112,2014,6,18,15,47,16,31,1001,3.13,0,0
39113,2014,6,18,16,NA,16,31,1000,7.15,0,0
39114,2014,6,18,17,NA,17,30,1000,11.17,0,0
39115,2014,6,18,18,83,18,29,1000,16.09,0,0
39116,2014,6,18,19,77,19,28,1001,21.01,0,0
39117,2014,6,18,20,80,18,26,1001,24.14,0,0
39118,2014,6,18,21,108,19,26,1003,27.27,0,0
39119,2014,6,18,22,121,19,25,1003,30.4,0,0
39120,2014,6,18,23,144,19,24,1003,0.89,0,0
39121,2014,6,19,0,143,20,22,1002,0.89,0,0
39122,2014,6,19,1,151,19,22,1003,0.89,0,0
39123,2014,6,19,2,153,19,21,1003,1.78,0,0
39124,2014,6,19,3,146,19,21,1003,1.79,0,0
39125,2014,6,19,4,141,19,20,1003,0.89,0,0
39126,2014,6,19,5,151,19,20,1003,0.89,0,0
39127,2014,6,19,6,158,19,21,1004,0.89,0,0
39128,2014,6,19,7,119,19,23,1005,1.78,0,0
39129,2014,6,19,8,137,19,24,1005,3.13,0,0
39130,2014,6,19,9,191,19,25,1005,7.15,0,0
39131,2014,6,19,10,200,19,26,1005,11.17,0,0
39132,2014,6,19,11,200,19,26,1005,15.19,0,0
39133,2014,6,19,12,181,18,26,1005,19.21,0,0
39134,2014,6,19,13,116,18,27,1005,23.23,0,0
39135,2014,6,19,14,106,19,27,1004,27.25,0,0
39136,2014,6,19,15,114,19,26,1005,32.17,0,0
39137,2014,6,19,16,109,19,26,1005,36.19,0,0
39138,2014,6,19,17,87,19,25,1004,39.32,0,0
39139,2014,6,19,18,65,18,25,1004,42.45,0,0
39140,2014,6,19,19,71,18,24,1005,45.58,0,0
39141,2014,6,19,20,79,18,24,1005,47.37,0,0
39142,2014,6,19,21,73,18,23,1006,49.16,0,0
39143,2014,6,19,22,72,18,23,1006,0.89,0,0
39144,2014,6,19,23,74,17,23,1006,1.78,0,1
39145,2014,6,20,0,78,18,22,1006,1.79,0,0
39146,2014,6,20,1,89,18,21,1007,4.92,0,1
39147,2014,6,20,2,86,17,20,1007,8.05,0,2
39148,2014,6,20,3,59,18,20,1007,0.89,0,3
39149,2014,6,20,4,39,18,19,1007,1.34,0,4
39150,2014,6,20,5,48,18,19,1007,1.79,0,5
39151,2014,6,20,6,41,18,19,1007,1.79,0,6
39152,2014,6,20,7,63,18,19,1008,3.13,0,7
39153,2014,6,20,8,59,18,20,1008,4.92,0,8
39154,2014,6,20,9,35,18,20,1008,8.94,0,0
39155,2014,6,20,10,22,18,22,1008,12.07,0,0
39156,2014,6,20,11,13,18,25,1007,15.2,0,0
39157,2014,6,20,12,19,17,27,1007,16.99,0,0
39158,2014,6,20,13,12,17,26,1007,3.13,0,0
39159,2014,6,20,14,10,16,27,1006,3.13,0,0
39160,2014,6,20,15,11,16,28,1006,3.13,0,0
39161,2014,6,20,16,17,16,28,1005,1.79,0,0
39162,2014,6,20,17,20,17,27,1005,1.79,0,0
39163,2014,6,20,18,20,17,27,1006,4.92,0,0
39164,2014,6,20,19,38,18,25,1007,9.84,0,0
39165,2014,6,20,20,61,18,23,1007,12.97,0,0
39166,2014,6,20,21,94,18,23,1008,14.76,0,0
39167,2014,6,20,22,89,18,22,1008,16.55,0,0
